movie,sentence,score
마녀(魔女) Part2. The Other One,다 별로라카는데 나는 오히려 엄청 재밌게봤는데 근데 전투씬이 너무 빠른게 조금 단점이긴했습니다그거말고는 다 좋아!!,9
불도저에 탄 소녀,평점에 제대로 속음. 8점대라 시청했는데 6점이 적당함. (36명 참여한 평점이라는 걸 나중에 봄 ㅠㅠ) 연기는 볼만하나 스토리는 전혀~,6
마녀(魔女) Part2. The Other One,호불호가 많이 갈릴듯. 개인적으로 저는 호,10
탑건: 매버릭,미쳤다!! 평가가 필요없는 대작,10
그해 여름,두 주인공의 감성 연기에 또 한 번 매료됩니다....,10
탑건: 매버릭,톰 크루즈 멋있다.  꼭  영화관에서 봐야한다. 다음  내용을  궁금하게 만든다.,10
그대가 조국,별로... 정치병영화,1
탑건: 매버릭,최고최고최고~~~~,10
브로커,고레에다 히로카즈의 영화라고 생각하고 보면 아쉬움이 있습니다감독과 배우 간 의 국적 언어 문화 등등의 차이점 극복을 위해너무 친절한 ? 영화가 된 게 아닌가 하는 생각을 조심스럽게 해봤습니다 . 주연 진 이외의 단역 배우들 ( 까메오 ) 보는 재미가 좋았습니다 . 추천합니다,9
탑건: 매버릭,탑건1을 다시 보는 기분이었다.,9
탑건: 매버릭,처음부터 끝날때까지 재밋음감동적 요소도 좋음역시 톰!,10
탑건,80년대 영화라 그런가 지금 보니 몰입도는 떨어졌지만 청춘스타들의 모습을 볼 수 있고 뭔가 향수를 불러 일으키는 분위기가 있음,7
탑건: 매버릭,지렸습니다 인생영화로 올렸습니다 제발 스크린x로 보세요 안그럼 후회합니다,10
탑건: 매버릭,영화보기전에 레이디가가 영상부터 봤는데 와.... 진짜 오랜만에 모든게 완벽한 걸작이 하나 나왔구나 싶었음. 톰의 연기며 전체적인 스토리며 볼거리 영상미 ost까지 무엇하나 빠지는게 없었음. 2022년 본 모든 영화 중 진짜 최고,10
탑건: 매버릭,비행기 타고 전투한 느낌. 손을 꼭 부여잡고 긴장하면서 봤습니다. 시간은 순삭. 톰크루즈는 명불허전. 저 나이에 저렇게 멋있을 수가...,10
랜드 오브 마인,독일인이 피해자라 상을 많이 못 탄거 같은 작품성에 비해 많이 안 알려진 수작,9
그대가 조국,그래서 정경심이 조작한게 니들은 죄가 없다는거냐 있다는거냐 다른 개소리들하지말고 영화본놈들은 대답이나 내놔봐라,6
범죄도시2,1 보셨으면 무조건 보세용,10
탑건: 매버릭,"탑건1이랑 오마주가 많아서 감동이었어요. 역시 믿고보는 톰형,, ost 웅장한것도 한몫합니다.",10
탑건: 매버릭,톰 크루즈가 내한되고 또한 개봉까지 되니 재미있을거 같아요~!!!!,10
마녀(魔女) Part2. The Other One,신시아 배우님 너무 예뻤습니다... 액션에서 중국냄새가 나긴 했지만신시아 배우님 존재만으로 커버가 되네요,10
탑건: 매버릭,마지막에 살리러 오는것이 감동적,10
히든 피겨스,너무너무너무 좋은영화특히 판사 설득 하는 부분!!,10
마녀(魔女) Part2. The Other One,마녀1 두번 보고 관람함  아이패드로 넷플릭스만 처본다는 씬에서 극장나옴,4
도쿄 리벤저스,배역들도 찰떡이고 너무 재밌는 양키물이였다!!!! ㅎㅎㅎㅎ요시자와 료의 금발 마이키는 너무 멋있고 설렌다.원작인 만화는 안봤지만 애니도 보고싶어져서 봐야할꺼같다 ㅎㅎ,10
탑건: 매버릭,전투 장면 나올때마다 숨참고 봤어요,10
크레이지,꽤 재밌는 스릴러,7
탑건: 매버릭,그냥 띵작임. 그냥 보면 됨. 연령대에 상관없음,10
탑건: 매버릭,무슨말이 더 필요한가나는 내순수했던 그시절을 탑건매버릭을 보고 다시한번 추억하게 해준것만으로도 충분히 감사하다올여름은 보잉선글라스다,10
브로커,생각할 거리를 주는 좋은 영화였습니다,10
탑건: 매버릭,역시 탐쿠르즈 영화는 개쩌네요 보는 내내 감동도있고 참시간가는줄모르고봤네요,10
감동주의보,너무 웃기면서   또 감동적인게 가족들과 심심풀기로 보기 딱좋은것같아오ㅡ!!♡ 근데 약간 아쉬운건  볼수록 좀..질린다고 해야돼나요? 그런부분빼곤 완전 재미있어요,10
